filename,loan_amount,currency
1994_june_16_668611468146702205_russia--land-reform-implementation-support-project-_-loan-3756--loan-agreement--conformed.txt,80000000,$
1994_june_16_861711468039542547_jamaica--tax-administration-reform-project-_-loan-3758--loan-agreement--conformed.txt,13200000,$
1994_june_21_709471468034467586_indonesia--java-irrigation-improvement-water-resources-management-project-_-loan-3762--loan-agreement--conformed.txt,Error,
1994_june_21_849861468260636772_indonesia--sumatera-and-kalimantan-power-project-_-loan-3761--loan-agreement--conformed.txt,260500000,$
1994_june_21_949461468298473009_russia--enterprise-support-project-_-loan-3763--loan-agreement--conformed.txt,200000000,$
1994_june_22_662741468295796991_russia--highway-rehabilitation-and-maintenance-project-_-loan-3706--loan-agreement--conformed.txt,300000000,$
1994_june_23_590261468056401922_morocco--second-agricultural-sector-investment-loan-_-loan-3765--loan-agreement--conformed.txt,121000000,$
1994_june_28_165841468237291004_brazil--parana-basic-education-quality-project-_-loan-3766--loan-agreement--conformed.txt,Error,
1994_june_28_410331468017403142_brazil--espirito-santo-water-and-coastal-pollution-management-project-_-loan-3767--loan-agreement--conformed.txt,154000000,$
1994_june_29_903491468146702472_russia--second-oil-rehabilitation-project-_-loan-3768--loan-agreement--conformed.txt,500000000,$
1994_june_29_940071468047064899_lebanon--irrigation-rehabilitation-and-modernization-project-_-loan-3769--loan-agreement--conformed.txt,Error,
1994_june_2_301031468007504914_algeria--water-supply-and-sewerage-rehabilation-project-_-loan-3743--loan-agreement--conformed.txt,110000000,$
1994_june_2_484921468285636867_philippines--subic-bay-freeport-project-_-loan-3745--loan-agreement--conformed.txt,40900000,$
1994_june_2_718551468049799616_kazakhstan--petroleum-technical-assistance-project-_-loan-3744--loan-agreement--conformed.txt,15700000,$
1994_june_7_410701468041433479_indonesia--semarang-surakarta-urban-development-project-_-loan-3749--loan-agreement--conformed.txt,174000000,$
1994_june_7_508111468241170474_china--national-highway-project-_-loan-3748--loan-agreement--conformed.txt,380000000,$
1994_june_7_672341468087250877_philippines--leyte-luzon-geothermal-project-phoc-_-loan-3747--loan-agreement--conformed.txt,114000000,$
1994_june_9_384541468252290095_india--container-transport-_-loan-3753--loan-agreement--conformed.txt,94000000,$
1994_june_9_933721468051257956_mexico--northern-border-environment-project-_-loan-3750--loan-agreement--conformed.txt,Error,
1994_march_10_893481468050043459_indonesia--second-highway-sector-investment-project-_-loan-3712--loan-agreement--conformed.txt,350000000,$
1994_march_15_102981468237290672_brazil--piaui-state-highway-management-project-_-loan-3713--loan-agreement--conformed.txt,54000000,$
1994_march_15_171001468235737789_brazil--tocantins-state-highway-management-project-_-loan-3714--loan-agreement--conformed.txt,87000000,$
1994_march_17_209441468240578246_china--sichuan-gas-development-and-conservation-project-_-loan-3716--loan-agreement--conformed.txt,255000000,$
1994_march_1_246471468221698901_argentina--capital-market-development-technical-assistance-project-_-loan-3710--loan-agreement--conformed.txt,8500000,$
1994_march_24_717031468233074159_egypt--agricultural-modernization-project-_-loan-3719--loan-agreement--conformed.txt,54000000,$
1994_march_25_438461468050043166_indonesia--skills-development-project-_-loan-3721--loan-agreement--conformed.txt,27790000,$
1994_march_25_876541468039030307_jamaica--private-investment-and-export-development-project-_-loan-3720--loan-agreement--conformed.txt,35000000,$
1994_may_10_689901468249040057_ecuador--irrigation-subsector-technical-assistance-project-_-loan-3730--loan-agreement--conformed.txt,20000000,$
1994_may_12_242271468247451795_estonia--highway-maintenance-project-_-loan-3731--loan-agreement--conformed.txt,12000000,$
1994_may_17_575521468231299584_brazil--basic-education-quality-improvement-project-_-loan-3733--loan-agreement--conformed.txt,150000000,$
1994_may_17_822011468282872749_indonesia--fifth-kabupaten-roads-project-_-loan-3732--loan-agreement--conformed.txt,101500000,$
1994_may_19_844831468090880889_romania--industrial-development-project-_-loan-3735--loan-agreement--conformed.txt,175000000,$
1994_may_24_500341468277460104_lithuania--power-rehabilitation-project-_-loan-3737--loan-agreement--conformed.txt,26400000,$
1994_may_24_629971468270553372_mauritius--technical-assistance-to-enhance-competiveness-project-_-loan-3736--loan-agreement--conformed.txt,7700000,$
1994_may_26_176051468203645568_belarus--forestry-development-project-_-loan-3741--loan-agreement--conformed.txt,41900000,$
1994_may_26_257071468021538238_bulgaria--water-companies-restructuring-and-modernization-project-_-loan-3739--loan-agreement--conformed.txt,98000000,$
1994_may_26_857181468263354244_jordan--telecommunications-project-_-loan-3738--loan-agreement--conformed.txt,113000000,$
1994_may_26_984471468025512148_estonia--district-heating-rehabilitation-project-_-loan-3740--loan-agreement--conformed.txt,38400000,$
1994_may_3_391411468302940436_uruguay--basic-education-quality-improvement-project-_-loan-3729--loan-agreement--conformed.txt,31500000,$
1994_november_15_638351468096860331_pakistan--financial-sector-deepening-and-intermediation-project-_-loan-3808--loan-agreement--conformed.txt,216000000,$
1994_november_17_938151468296978711_poland--kotowice-heat-supply-and-conservation-project-_-loan-3809--loan-agreement--conformed.txt,45000000,$
1994_november_22_590321468285594361_peru--lima-water-rehabilitation-and-management-project-_-loan-3811--loan-agreement--conformed.txt,150000000,$
1994_november_29_282321468099284428_pakistan--second-private-sector-energy-development-loan-_-loan-3812--loan-agreement--conformed.txt,250000000,$
1994_november_8_277771468059363040_russia--environmental-management-project-_-loan-3806--loan-agreement--conformed.txt,110000000,$
1994_october_25_910911468068332382_poland--debt-and-debt-service-reduction-loan-_-loan-3804--loan-agreement--conformed.txt,170000000,$
1994_october_27_936121468055457557_mexico--technical-education-and-training-modernization-project-_-loan-3805--loan-agreement--conformed.txt,265000000,$
1994_september_11_265101468105276153_latvia--enterprise-and-financial-sector-restructuring-project-_-loan-3795--loan-agreement--conformed.txt,20000000,$
1994_september_13_482921468303101447_mexico--second-decentralization-and-regional-development-project-_-loan-3790--loan-agreement--conformed.txt,500000000,$
1994_september_15_233931468221106197_argentina--decentralization-and-improvement-of-secondary-education-project-_-loan-3794--loan-agreement--conformed.txt,190000000,$
1994_september_15_404541468260637096_indonesia--land-administration-project-_-loan-3792--loan-agreement--conformed.txt,80000000,$
1994_september_15_649391468165557319_turkmenistan--institution-building-technical-assistance-project-_-loan-3791--loan-agreement--conformed.txt,25000000,$
1994_september_22_201541468238782466_bulgaria--debt-and-debt-service-reduction-loan-_-loan-3800--loan-agreement--conformed.txt,125000000,$
1994_september_22_528171468170059891_thailand--second-gas-transmission-project-_-loan-3799--loan-agreement--conformed.txt,100000000,$
1994_september_6_814821468005999835_brazil--ceara-urban-development-and-water-resource-management-project-_-loan-3789--loan-agreement--conformed.txt,140000000,$
1995_april_11_788391468164036755_ukraine--hydropower-rehabilitation-and-system-control-project-_-loan-3865--loan-agreement--conformed.txt,114000000,$
1995_april_13_234841468088484170_lithuania--enterprise-and-financial-sector-assistance-project-_-loan-3866--loan-agreement--conformed.txt,22000000,$
1995_april_18_724451468284077265_kazakhstan--financial-and-enterprises-development-project-_-loan-3867--loan-agreement--conformed.txt,62000000,$
1995_april_25_541741468024550538_china--yangtze-basin-water-resources-project-_-credit-2710--loan-agreement--conformed.txt,74800000,SDR
1995_april_25_635851468019737693_china--shandong-provincial-highway-project-_-credit-2709--loan-agreement--conformed.txt,25000000,$
1995_april_9_977601468041486510_china--liaoning-environment-project-_-loan-3781--loan-agreement--conformed.txt,110000000,$
1995_august_22_769041468219902151_china--ertan-ii-hydroelectric-project-_-loan-3933--loan-agreement--conformed.txt,400000000,$
1995_august_23_148651468296461859_conformed-copy--l3849--employment-and-social-protection-project--loan-agreement.txt,30000000,$
1995_august_29_292561468097189059_papua-new-guinea--economic-recovery-program-loan-_-loan-3934--loan-agreement--conformed.txt,50000000,$
1995_august_29_575801468055459440_mexico--privatization-technical-assistance-project-_-loan-3937--loan-agreement--conformed.txt,30000000,$
1995_august_29_622181468298764669_romania--power-sector-rehabilitation-and-modernization-project-_-loan-3936--loan-agreement--conformed.txt,134100000,$
1995_august_29_902831468299951112_morocco--emergency-drought-recovery-project-_-loan-3935--loan-agreement--conformed.txt,50000000,$
1995_august_3_601361468047065199_lebanon--administrative-rehabilitation-project-_-loan-3930--loan-agreement--conformed.txt,20600000,$
1995_december_14_893171468041346676_latvia--municipal-services-development-project-_-loan-3964--loan-agreement--conformed.txt,27300000,$
1995_december_19_436571468123879223_pakistan--ghazi-barotha-hydropower-project-_-loan-3965--loan-agreement--conformed.txt,350000000,$
1995_december_21_651991468028761930_dominican-republic--basic-education-reform-project-_-credit-2803--loan-agreement--conformed.txt,2100000,SDR
1995_february_14_809901468032939493_croatia--health-project-_-loan-3843--loan-agreement--conformed.txt,40000000,$
1995_february_28_366121468024854153_china--sichuan-power-transmission-project-_-loan-3848--loan-agreement--conformed.txt,270000000,$
1995_february_28_436441468260637740_indonesia--second-rural-electrificaion-project-_-loan-3845--loan-agreement--conformed.txt,398000000,$
1995_february_28_991721468240578872_china--technology-development-project-_-loan-3847--loan-agreement--conformed.txt,200000000,$
1995_february_7_591561468145187529_panama--rural-health-project-_-loan-3841--loan-agreement--conformed.txt,25000000,$
1995_january_12_987541468204580188_algeria--economic-rehabilitation-support-loan-_-loan-3834--loan-agreement--conformed.txt,150000000,$
1995_january_19_969191468247450474_estonia--health-project-_-loan-3835--loan-agreement--conformed.txt,18000000,$
1995_january_24_516981468010499985_argentina--provincial-reform-loan-_-loan-3836--loan-agreement--conformed.txt,300000000,$
1995_january_24_881801468056926864_mexico--financial-sector-technical-assistance-project-_-loan-3838--loan-agreement--2--conformed.txt,37400000,$
1995_january_31_347191468302943938_tunisia--rural-roads-project-_-loan-3840--loan-agreement--conformed.txt,51500000,$
1995_january_31_356471468008129359_algeria--sixth-highway-project-_-loan-3839--loan-agreement--conformed.txt,130000000,$
1995_july_11_147021468107972990_st-lucia--watershed-and-environmental-management-project-_-loan-3925--loan-agreement--conformed.txt,2650000,$
1995_july_11_745691468229459639_brazil--environmental-conservation-and-rehabilitation-project-_-loan-3924--loan-agreement--conformed.txt,50002000,$
1995_july_20_576451469672147289_conformed-copy--l3686--roads-rehabilitation-project--loan-agreement.txt,500000000,$
1995_july_25_507541468010501278_argentina--bank-reform-loan-_-loan-3926--loan-agreement--conformed.txt,500000000,$
1995_july_25_920151468005132514_argentina--mining-development-technical-assistance-project-_-loan-3927--loan-agreement--conformed.txt,30000000,$
1995_july_6_202121468246912314_el-salvador--energy-sector-modernization-project-_-loan-3920--loan-agreement--conformed.txt,65000000,$
1995_july_6_583881468215358825_bulgaria--railway-rehabilitation-project-_-loan-3922--loan-agreement--conformed.txt,95000000,$
1995_july_6_755661468033556146_india--bombay-sewage-disposal-project-_-loan-3923--loan-agreement--conformed.txt,167000000,$
1995_june_15_257361468269438709_indonesia--telecommunications-sector-modernization-project-_-loan-3904--loan-agreement--conformed.txt,42000000,$
1995_june_15_625341468240579194_china--southwest-poverty-reduction-project-_-loan-3906--loan-agreement--conformed.txt,47500000,$
1995_june_15_726181468282873956_indonesia--fourth-health-project-_-loan-3905--loan-agreement--conformed.txt,88000000,$
1995_june_20_263311468271505326_mauritius--port-development-and-environmental-protection-project-_-loan-3909--loan-agreement--conformed.txt,7100000,$
1995_june_20_290671468300569535_mauritius--port-development-and-environmental-protection-project-_-loan-3908--loan-agreement--conformed.txt,23400000,$
1995_june_20_815091468019446949_china--inland-waterways-project-_-loan-3910--loan-agreement--conformed.txt,210000000,$
1995_june_20_988951468250492362_india--second-madras-water-supply-project-_-loan-3907--loan-agreement--2--conformed.txt,6000000,$
1995_june_22_306591468282874266_indonesia--second-technical-assistance-project-for-private-provision-of-infrastructure-_-loan-3913--loan-agreement--conformed.txt,28000000,$
1995_june_22_550361468270260189_mexico--financial-sector-restructuring-loan-_-loan-3911--loan-agreement--conformed.txt,1000000,$
1995_june_22_787521468270603560_mexico--essential-social-services-program-_-loan-3912--loan-agreement--conformed.txt,500000000,$
