country_name,slope,y_intercept,volatility,min_year,max_year,got_loan,got_mentioned
new caledonia,476.94982586353393,-936745.4844082424,0.4227518850766481,1965.0,2000.0,0.0,1.0
new zealand,737.9347230870949,-1452160.762642016,0.3777802312167208,1960.0,2020.0,0.0,1.0
nicaragua,30.08891254147945,-58993.33769864127,0.4551598115518663,1960.0,2020.0,0.0,1.0
niger,6.283403944948645,-12198.632768109606,0.7062151283381681,1960.0,2020.0,1.0,1.0
nigeria,38.562410124235626,-75771.13740028822,0.7981188822850523,1960.0,2020.0,0.0,1.0
norway,1679.9650867690116,-3307564.408163477,0.4180336275466546,1960.0,2020.0,0.0,1.0
oman,369.6310631297249,-728216.9162253045,0.4454711082619627,1965.0,2019.0,1.0,1.0
pakistan,21.685496641155108,-42625.34506505875,0.399747496828798,1960.0,2020.0,1.0,1.0
palau,486.4904893022343,-966113.7400919182,0.32197553990846,2000.0,2019.0,0.0,0.0
panama,211.96828684295923,-417344.28469263593,0.5618263365990356,1960.0,2020.0,1.0,1.0
papua new guinea,41.26840033929636,-81146.3720642156,0.6133164415143755,1960.0,2020.0,0.0,1.0
paraguay,98.75111944475944,-194648.04464518972,0.5338800207695279,1965.0,2020.0,1.0,1.0
peru,106.5933925086026,-209846.52478251077,0.5365201388564641,1960.0,2020.0,1.0,1.0
philippines,49.47923734662756,-97357.51841055088,0.4890739590110755,1960.0,2020.0,1.0,1.0
poland,519.4434990800755,-1032875.9756720416,0.2767195423931732,1990.0,2020.0,1.0,1.0
portugal,458.1538420584419,-902076.9299095942,0.3180635524649091,1960.0,2020.0,0.0,1.0
puerto rico,582.4167313807167,-1146647.0292746476,0.2787194611733709,1960.0,2020.0,0.0,0.0
qatar,1359.3831816480931,-2677598.085911877,0.7026880388276618,1970.0,2020.0,0.0,0.0
romania,388.418110173487,-772827.47701229,0.4122103041473305,1987.0,2020.0,0.0,1.0
rwanda,12.103676922748091,-23778.22494942379,0.4845977288399491,1960.0,2020.0,1.0,1.0
samoa,116.52051726357315,-230947.6778626289,0.2739066793954345,1982.0,2020.0,0.0,1.0
san marino,33.00293197474683,-13434.016330766715,55.6752716550477,1999.0,2019.0,0.0,0.0
saudi arabia,363.1652026486945,-712582.5437085358,0.7516208598940988,1968.0,2020.0,0.0,1.0
senegal,19.17399530466613,-37368.16114742797,0.4437509286303989,1960.0,2020.0,1.0,1.0
serbia,238.27420655097905,-473560.7576504979,0.5266950876474786,1995.0,2020.0,1.0,1.0
seychelles,281.73207298548374,-554745.7162650363,0.2808476522658961,1960.0,2020.0,1.0,1.0
sierra leone,6.27258398846906,-12206.13214682907,0.9039439701219204,1960.0,2020.0,0.0,0.0
singapore,1102.4221678105516,-2173479.0883989944,0.3892753054652916,1960.0,2020.0,0.0,1.0
slovenia,715.1532860854936,-1416615.1599574331,0.5416316356585177,1995.0,2020.0,1.0,1.0
solomon islands,39.18164252422184,-77064.87889086793,0.4544058958441591,1967.0,2020.0,0.0,1.0
somalia,4.250616937370633,-8280.598963921026,0.3336337427366457,1960.0,2020.0,0.0,0.0
south africa,111.05920537211792,-217811.9453634116,0.3942545012302946,1960.0,2020.0,1.0,1.0
spain,605.3537745053969,-1191281.2044400095,0.3317934472925168,1960.0,2020.0,1.0,1.0
sri lanka,61.394817160745866,-121073.31432510166,0.6348998115782932,1960.0,2020.0,1.0,1.0
sudan,18.54506764871417,-36331.598340110046,0.8035966672983762,1960.0,2020.0,0.0,1.0
suriname,127.58012682583988,-250865.30625128865,0.686670079241157,1960.0,2020.0,1.0,1.0
sweden,1047.1463160694084,-2057239.1608697905,0.2699898823695226,1960.0,2020.0,0.0,1.0
switzerland,1602.4168231963122,-3151039.110556688,0.281929208340027,1960.0,2020.0,0.0,1.0
tajikistan,29.314153572597387,-58248.50201258147,0.6768477606029382,1990.0,2020.0,0.0,1.0
tanzania,32.763858785028845,-65105.02978112808,0.2453097098806554,1988.0,2020.0,0.0,1.0
thailand,115.88414932982766,-228399.69846664657,0.4396917088944819,1960.0,2020.0,1.0,1.0
togo,10.640949762311616,-20815.799371909885,0.5100939303626948,1960.0,2020.0,1.0,1.0
tonga,105.60893942142052,-208759.94936000675,0.2700692500058508,1975.0,2019.0,0.0,1.0
tunisia,77.94912268080928,-153292.29776945646,0.3178648816176903,1965.0,2020.0,1.0,1.0
turkey,200.46521486497056,-394867.174698707,0.500120020616943,1960.0,2020.0,1.0,1.0
turkmenistan,252.92623743293277,-503784.6393395562,0.5082684810624618,1987.0,2019.0,1.0,1.0
tuvalu,112.40893561280048,-223052.921430194,0.2445786293773514,1990.0,2020.0,0.0,0.0
uganda,12.009306927205175,-23569.642615098823,0.6373731353788403,1960.0,2020.0,0.0,0.0
ukraine,85.40453251272568,-169107.5632034522,0.881907046070498,1987.0,2020.0,1.0,1.0
united arab emirates,269.04651451641854,-503632.2282282416,1.6534320285720208,1975.0,2019.0,1.0,1.0
united kingdom,895.6810330668512,-1761931.7459949667,0.2932312152742905,1960.0,2020.0,1.0,1.0
united states,1084.5320138025502,-2131508.3693061285,0.179906692076272,1960.0,2020.0,1.0,1.0
uruguay,275.64193434731976,-542952.6763126487,0.5477427761773311,1960.0,2020.0,1.0,1.0
uzbekistan,64.2020759794442,-127589.10726409464,0.7670618717612007,1990.0,2020.0,1.0,1.0
vanuatu,59.92002479700065,-117979.95842503312,0.3826271546530296,1979.0,2020.0,0.0,0.0
vietnam,73.13937266024979,-145507.32110899198,0.4812010652690418,1985.0,2020.0,1.0,1.0
zambia,19.34127193455553,-37820.165907351344,0.9116837600572968,1960.0,2020.0,1.0,1.0
zimbabwe,13.068092789318348,-25301.767633665644,1.0735763363042805,1960.0,2020.0,1.0,1.0
