,Year,loan_amount,Country,world_region,GDP,Stability
217,1991,45000000.0,egypt,northern africa,37387836491.0,
218,1991,91400000.0,pakistan,asia (ex. near east),45625234698.0,
219,1991,5400000.0,mauritius,sub-saharan africa,2856890681.0,
220,1991,106100000.0,indonesia,asia (ex. near east),117000000000.0,
221,1991,6000000.0,cyprus,near east,5770197348.0,
222,1991,14700000.0,cyprus,near east,5770197348.0,
223,1991,11300000.0,cyprus,near east,5770197348.0,
224,1991,50000000.0,morocco,northern africa,32285388165.0,
225,1991,330000000.0,china,asia (ex. near east),383000000000.0,
226,1991,150000000.0,oman,near east,11341482445.0,
227,1991,300000000.0,serbia,eastern europe,,
228,1991,300000000.0,serbia,eastern europe,,
229,1991,300000000.0,turkey,near east,150000000000.0,
230,1991,40000000.0,turkey,near east,150000000000.0,
231,1991,260000000.0,turkey,near east,150000000000.0,
232,1991,100000000.0,poland,eastern europe,85500935935.0,
233,1991,20000000.0,poland,eastern europe,85500935935.0,
234,1991,23000000.0,cameroon,sub-saharan africa,11840192674.0,
235,1991,75000000.0,poland,eastern europe,85500935935.0,
236,1991,25000000.0,poland,eastern europe,85500935935.0,
237,1991,40000000.0,poland,eastern europe,85500935935.0,
238,1991,75000000.0,poland,eastern europe,85500935935.0,
239,1991,84000000.0,egypt,northern africa,37387836491.0,
240,1991,225000000.0,indonesia,asia (ex. near east),117000000000.0,
241,1991,145000000.0,morocco,northern africa,32285388165.0,
242,1992,75000000.0,tunisia,northern africa,15497286296.0,
243,1992,68000000.0,philippines,asia (ex. near east),52976344929.0,
244,1992,200000000.0,hungary,eastern europe,38730585922.0,
245,1992,275000000.0,morocco,northern africa,33711069431.0,
246,1992,100000000.0,hungary,eastern europe,38730585922.0,
247,1992,67500000.0,niger,sub-saharan africa,3386232592.0,
248,1992,42500000.0,niger,sub-saharan africa,3386232592.0,
249,1992,215000000.0,indonesia,asia (ex. near east),128000000000.0,
250,1992,36600000.0,indonesia,asia (ex. near east),128000000000.0,
251,1992,423600000.0,indonesia,asia (ex. near east),128000000000.0,
252,1992,25000000.0,algeria,northern africa,48003078389.0,
253,1992,33000000.0,algeria,northern africa,48003078389.0,
254,1992,90000000.0,chile,latin amer. & carib,45964327559.0,
255,1992,141000000.0,malaysia,asia (ex. near east),59167550163.0,
256,1992,240000000.0,china,asia (ex. near east),427000000000.0,
257,1992,120000000.0,china,asia (ex. near east),427000000000.0,
258,1992,200000000.0,poland,eastern europe,94337050693.0,
259,1992,50000000.0,brazil,latin amer. & carib,401000000000.0,
260,1992,200000000.0,philippines,asia (ex. near east),52976344929.0,
261,1992,8000000.0,china,asia (ex. near east),427000000000.0,
262,1992,125000000.0,zimbabwe,sub-saharan africa,6751472200.0,
263,1992,150000000.0,philippines,asia (ex. near east),52976344929.0,
264,1992,69500000.0,indonesia,asia (ex. near east),128000000000.0,
265,1992,85000000.0,philippines,asia (ex. near east),52976344929.0,
266,1992,180000000.0,china,asia (ex. near east),427000000000.0,
267,1992,7100000.0,belize,latin amer. & carib,518559700.7,
268,1992,45000000.0,egypt,northern africa,41855986519.0,
269,1992,94000000.0,malaysia,asia (ex. near east),59167550163.0,
270,1992,130000000.0,poland,eastern europe,94337050693.0,
271,1992,310000000.0,china,asia (ex. near east),427000000000.0,
272,1992,60000000.0,poland,eastern europe,94337050693.0,
273,1992,15000000.0,mauritius,sub-saharan africa,3224267548.0,
274,1992,310000000.0,china,asia (ex. near east),427000000000.0,
275,1992,285000000.0,turkey,near east,158000000000.0,
276,1992,375000000.0,indonesia,asia (ex. near east),128000000000.0,
277,1992,350000000.0,india,asia (ex. near east),288000000000.0,
278,1992,82700000.0,china,asia (ex. near east),427000000000.0,
279,1992,270000000.0,turkey,near east,158000000000.0,
280,1992,9200000.0,turkey,near east,158000000000.0,
281,1992,55000000.0,turkey,near east,158000000000.0,
282,1992,100000000.0,oman,near east,12452275683.0,
283,1992,150000000.0,mexico,latin amer. & carib,363000000000.0,
284,1992,153000000.0,india,asia (ex. near east),288000000000.0,
285,1992,65000000.0,uruguay,latin amer. & carib,12878199881.0,
286,1992,400000000.0,oman,near east,12452275683.0,
287,1992,91300000.0,philippines,asia (ex. near east),52976344929.0,
288,1992,87600000.0,japan,asia (ex. near east),3910000000000.0,
289,1992,57000000.0,iran,asia (ex. near east),,
290,1992,77000000.0,iran,asia (ex. near east),,
291,1992,220000000.0,egypt,northern africa,41855986519.0,
