file_name,sector,agreement_date,year
1994_may_26_857181468263354244_jordan--telecommunications-project-_-loan-3738--loan-agreement--conformed.txt,telecommunications,1994_may_26,1994
1994_may_26_984471468025512148_estonia--district-heating-rehabilitation-project-_-loan-3740--loan-agreement--conformed.txt,district-heating-rehabilitation,1994_may_26,1994
1994_may_3_391411468302940436_uruguay--basic-education-quality-improvement-project-_-loan-3729--loan-agreement--conformed.txt,basic-education-quality-improvement,1994_may_3,1994
1994_november_15_638351468096860331_pakistan--financial-sector-deepening-and-intermediation-project-_-loan-3808--loan-agreement--conformed.txt,financial-sector-deepening-and-intermediation,1994_november_15,1994
1994_november_17_938151468296978711_poland--kotowice-heat-supply-and-conservation-project-_-loan-3809--loan-agreement--conformed.txt,kotowice-heat-supply-and-conservation,1994_november_17,1994
1994_november_22_590321468285594361_peru--lima-water-rehabilitation-and-management-project-_-loan-3811--loan-agreement--conformed.txt,lima-water-rehabilitation-and-management,1994_november_22,1994
1994_november_29_282321468099284428_pakistan--second-private-sector-energy-development-loan-_-loan-3812--loan-agreement--conformed.txt,second-private-sector-energy-development,1994_november_29,1994
1994_november_8_277771468059363040_russia--environmental-management-project-_-loan-3806--loan-agreement--conformed.txt,environmental-management,1994_november_8,1994
1994_october_25_910911468068332382_poland--debt-and-debt-service-reduction-loan-_-loan-3804--loan-agreement--conformed.txt,debt-and-debt-service-reduction,1994_october_25,1994
1994_october_27_936121468055457557_mexico--technical-education-and-training-modernization-project-_-loan-3805--loan-agreement--conformed.txt,technical-education-and-training-modernization,1994_october_27,1994
1994_september_11_265101468105276153_latvia--enterprise-and-financial-sector-restructuring-project-_-loan-3795--loan-agreement--conformed.txt,enterprise-and-financial-sector-restructuring,1994_september_11,1994
1994_september_13_482921468303101447_mexico--second-decentralization-and-regional-development-project-_-loan-3790--loan-agreement--conformed.txt,second-decentralization-and-regional-development,1994_september_13,1994
1994_september_15_233931468221106197_argentina--decentralization-and-improvement-of-secondary-education-project-_-loan-3794--loan-agreement--conformed.txt,decentralization-and-improvement-of-secondary-education,1994_september_15,1994
1994_september_15_404541468260637096_indonesia--land-administration-project-_-loan-3792--loan-agreement--conformed.txt,land-administration,1994_september_15,1994
1994_september_15_649391468165557319_turkmenistan--institution-building-technical-assistance-project-_-loan-3791--loan-agreement--conformed.txt,institution-building-technical-assistance,1994_september_15,1994
1994_september_22_201541468238782466_bulgaria--debt-and-debt-service-reduction-loan-_-loan-3800--loan-agreement--conformed.txt,debt-and-debt-service-reduction,1994_september_22,1994
1994_september_22_528171468170059891_thailand--second-gas-transmission-project-_-loan-3799--loan-agreement--conformed.txt,second-gas-transmission,1994_september_22,1994
1994_september_6_814821468005999835_brazil--ceara-urban-development-and-water-resource-management-project-_-loan-3789--loan-agreement--conformed.txt,ceara-urban-development-and-water-resource-management,1994_september_6,1994
1995_april_11_788391468164036755_ukraine--hydropower-rehabilitation-and-system-control-project-_-loan-3865--loan-agreement--conformed.txt,hydropower-rehabilitation-and-system-control,1995_april_11,1995
1995_april_13_234841468088484170_lithuania--enterprise-and-financial-sector-assistance-project-_-loan-3866--loan-agreement--conformed.txt,enterprise-and-financial-sector-assistance,1995_april_13,1995
1995_april_18_724451468284077265_kazakhstan--financial-and-enterprises-development-project-_-loan-3867--loan-agreement--conformed.txt,financial-and-enterprises-development,1995_april_18,1995
1995_april_25_541741468024550538_china--yangtze-basin-water-resources-project-_-credit-2710--loan-agreement--conformed.txt,yangtze-basin-water-resources,1995_april_25,1995
1995_april_25_635851468019737693_china--shandong-provincial-highway-project-_-credit-2709--loan-agreement--conformed.txt,shandong-provincial-highway,1995_april_25,1995
1995_april_9_977601468041486510_china--liaoning-environment-project-_-loan-3781--loan-agreement--conformed.txt,liaoning-environment,1995_april_9,1995
1995_august_22_769041468219902151_china--ertan-ii-hydroelectric-project-_-loan-3933--loan-agreement--conformed.txt,ertan-ii-hydroelectric,1995_august_22,1995
1995_august_23_148651468296461859_conformed-copy--l3849--employment-and-social-protection-project--loan-agreement.txt,employment-and-social-protection,1995_august_23,1995
1995_august_29_292561468097189059_papua-new-guinea--economic-recovery-program-loan-_-loan-3934--loan-agreement--conformed.txt,economic-recovery,1995_august_29,1995
1995_august_29_575801468055459440_mexico--privatization-technical-assistance-project-_-loan-3937--loan-agreement--conformed.txt,privatization-technical-assistance,1995_august_29,1995
1995_august_29_622181468298764669_romania--power-sector-rehabilitation-and-modernization-project-_-loan-3936--loan-agreement--conformed.txt,power-sector-rehabilitation-and-modernization,1995_august_29,1995
1995_august_29_902831468299951112_morocco--emergency-drought-recovery-project-_-loan-3935--loan-agreement--conformed.txt,emergency-drought-recovery,1995_august_29,1995
1995_august_3_601361468047065199_lebanon--administrative-rehabilitation-project-_-loan-3930--loan-agreement--conformed.txt,administrative-rehabilitation,1995_august_3,1995
1995_december_14_893171468041346676_latvia--municipal-services-development-project-_-loan-3964--loan-agreement--conformed.txt,municipal-services-development,1995_december_14,1995
1995_december_19_436571468123879223_pakistan--ghazi-barotha-hydropower-project-_-loan-3965--loan-agreement--conformed.txt,ghazi-barotha-hydropower,1995_december_19,1995
1995_december_21_651991468028761930_dominican-republic--basic-education-reform-project-_-credit-2803--loan-agreement--conformed.txt,basic-education-reform,1995_december_21,1995
1995_february_14_809901468032939493_croatia--health-project-_-loan-3843--loan-agreement--conformed.txt,health,1995_february_14,1995
1995_february_28_366121468024854153_china--sichuan-power-transmission-project-_-loan-3848--loan-agreement--conformed.txt,sichuan-power-transmission,1995_february_28,1995
1995_february_28_436441468260637740_indonesia--second-rural-electrificaion-project-_-loan-3845--loan-agreement--conformed.txt,second-rural-electrificaion,1995_february_28,1995
1995_february_28_991721468240578872_china--technology-development-project-_-loan-3847--loan-agreement--conformed.txt,technology-development,1995_february_28,1995
1995_february_7_591561468145187529_panama--rural-health-project-_-loan-3841--loan-agreement--conformed.txt,rural-health,1995_february_7,1995
1995_january_12_987541468204580188_algeria--economic-rehabilitation-support-loan-_-loan-3834--loan-agreement--conformed.txt,economic-rehabilitation-support,1995_january_12,1995
1995_january_19_969191468247450474_estonia--health-project-_-loan-3835--loan-agreement--conformed.txt,health,1995_january_19,1995
1995_january_24_516981468010499985_argentina--provincial-reform-loan-_-loan-3836--loan-agreement--conformed.txt,provincial-reform,1995_january_24,1995
1995_january_24_881801468056926864_mexico--financial-sector-technical-assistance-project-_-loan-3838--loan-agreement--2--conformed.txt,financial-sector-technical-assistance,1995_january_24,1995
1995_january_31_347191468302943938_tunisia--rural-roads-project-_-loan-3840--loan-agreement--conformed.txt,rural-roads,1995_january_31,1995
1995_january_31_356471468008129359_algeria--sixth-highway-project-_-loan-3839--loan-agreement--conformed.txt,sixth-highway,1995_january_31,1995
1995_july_11_147021468107972990_st-lucia--watershed-and-environmental-management-project-_-loan-3925--loan-agreement--conformed.txt,watershed-and-environmental-management,1995_july_11,1995
