filename,loan_amount,currency
1991_august_16_166861468059708142_conformed-copy--l3365--financial-sector-development-project--loan-agreement-6.txt,9500000,$
1991_august_16_194091468053967727_conformed-copy--l3365--financial-sector-development-project--loan-agreement-5.txt,8500000,$
1991_august_16_275881468060535362_conformed-copy--l3365--financial-sector-development-project--loan-agreement-9.txt,8500000,$
1991_august_16_389641468273922307_conformed-copy--l3365--financial-sector-development-project--loan-agreement-4.txt,13500000,$
1991_august_16_732321468324873162_conformed-copy--l3365--financial-sector-development-project--loan-agreement-3.txt,19500000,$
1991_august_16_737361468273921426_conformed-copy--l3365--financial-sector-development-project--loan-agreement-2.txt,29500000,$
1991_august_16_773831468123870611_conformed-copy--l3365--financial-sector-development-project--loan-agreement-8.txt,11500000,$
1991_august_16_818571468054588351_conformed-copy--l3365--financial-sector-development-project--loan-agreement-7.txt,9500000,$
1991_august_16_899631468287374650_conformed-copy--l3365--financial-sector-development-project--loan-agreement-1.txt,125000000,$
1991_august_2_894331468194365039_conformed-copy--l3395--first-petroleum-project--loan-agreement.txt,100000000,$
1991_august_6_927611468289811398_conformed-copy--l3326--health-system-fund-project--loan-agreement.txt,70000000,$
1991_august_8_361941468292857437_conformed-copy--l3340--sulawesi--irian-jaya-urban-development-project--loan-agreement.txt,100000000,$
1991_august_8_470421468041398802_conformed-copy--l3385--technical-assistance-project-for-public-and-private-provision-of-infrastructure--loan-agreement.txt,275000000,$
1991_august_8_728601468043745684_conformed-copy--l3349--power-transmission-project--loan-agreement.txt,275000000,$
1991_december_11_602151468048549822_conformed-copy--l3413--gas-system-expansion-project--loan-agreement.txt,100000000,$
1991_december_13_451651468313473571_conformed-copy--l3424--economic-and-financial-reforms-support-loan--loan-agreement.txt,250000000,$
1991_december_16_745201468223756890_conformed-copy--c2312--beijing-environmental-project--loan-agreement.txt,45000000,$
1991_december_23_626741468019151457_conformed-copy--c2324--competitiveness-and-regulatory-reform-adjustment-credit--loan-agreement.txt,75000000,$
