proj_name,countries,max_country,world_region
1994_august_23_231921468308368489_tunisia--secondary-education-support-project-_-loan-3786--loan-agreement--conformed.txt,"[['tunisia', 'united states'], [6, 1]]",tunisia,northern africa
2019_may_27_419831559051735833_official-documents-loan-agreement-for-loan-8956-id-closing-package.txt,"[['india', 'indonesia', 'japan', 'united states'], [1, 6, 3, 1]]",indonesia,asia (ex. near east)
2017_november_30_461791514498478768_official-documents-loan-agreement-for-loan-8717-id-closing-package.txt,"[['indonesia', 'peru', 'united states'], [6, 5, 2]]",indonesia,asia (ex. near east)
2019_july_2_922281564166445297_official-documents-amendment-to-the-loan-agreement-for-loan-8564-ga.txt,"[['gabon'], [4]]",gabon,sub-saharan africa
2019_may_7_171131561412334243_official-documents--loan-agreement-for-loan-8936-yf-closing-package-.txt,"[['serbia', 'united states'], [5, 1]]",serbia,eastern europe
1991_december_20_506621468026670810_ivory-coast--human-resources-development-loan-_-loan-3428--loan-agreement--conformed.txt,"[[""cote d'ivoire"", 'united states'], [1, 1]]",cote d'ivoire,sub-saharan africa
1991_october_31_427451468019739796_china--daguangba-multipurpose-project-_-loan-3412--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 2]]",china,asia (ex. near east)
1994_june_16_668611468146702205_russia--land-reform-implementation-support-project-_-loan-3756--loan-agreement--conformed.txt,"[['russia', 'united states'], [7, 1]]",russia,c.w. of ind. states
1994_june_22_662741468295796991_russia--highway-rehabilitation-and-maintenance-project-_-loan-3706--loan-agreement--conformed.txt,"[['russia', 'united states'], [8, 3]]",russia,c.w. of ind. states
2013_july_19_950101468274256282_official-documents-loan-agreement-for-loan-8279-ge-closing-package.txt,"[['georgia', 'iran', 'united states'], [4, 1, 2]]",georgia,c.w. of ind. states
1994_december_13_653081468234321027_ecuador--structural-adjustment-loan-_-loan-3819--loan-agreement--conformed.txt,"[['ecuador', 'united states'], [18, 1]]",ecuador,latin amer. & carib
1994_september_22_528171468170059891_thailand--second-gas-transmission-project-_-loan-3799--loan-agreement--conformed.txt,"[['japan', 'thailand', 'united states'], [1, 13, 2]]",thailand,asia (ex. near east)
2019_april_22_828481556814821022_official-documents-loan-agreement-for-scf-loan-tf0a8336-closing-package.txt,"[['nepal', 'united states'], [7, 4]]",nepal,asia (ex. near east)
2019_july_7_323351582133605028_official-documents-loan-agreement-for-loan-8960-iq-closing-package.txt,"[['iraq', 'united states'], [4, 1]]",iraq,near east
1995_march_30_536101468037750899_jordan--second-human-resources-development-sector-investment-project-_-loan-3864--loan-agreement--conformed.txt,"[['japan', 'jordan', 'united states'], [1, 5, 1]]",jordan,near east
2019_april_15_885761562083033951_official-documents-amendment-to-the-additional-financing-loan-agreement-for-loan-8700-ar.txt,"[['argentina', 'paraguay', 'uruguay'], [3, 1, 1]]",argentina,latin amer. & carib
1994_may_26_857181468263354244_jordan--telecommunications-project-_-loan-3738--loan-agreement--conformed.txt,"[['japan', 'jordan', 'united states'], [1, 6, 2]]",jordan,near east
