,x,y
1991_february_27_660491468204858318_conformed-copy--l3266--science-and-technology-university-development-project--loan-agreement.txt,-56.86556,-3.161712
2015_july_2_416021468300616221_official-documents-loan-agreement-for-loan-8507-ma-closing-package.txt,-16.044626,73.14563
2003_september_11_468771468287394657_conformed-copy--l7177--trade-facilitation-and-productivity-improvement-technical-assistance-project--loan-agreement.txt,-19.009304,5.3373256
2018_november_27_243281543417298669_official-documents-amended-and-restated-scf-ppcr-loan-agreement-for-tf016912-closing-package.txt,17.766592,4.237931
1992_august_5_878771468010235898_conformed-copy--l3488--cadastre-project--loan-agreement.txt,-10.283566,1.1745774
2015_june_23_859971468242392828_official-documents-loan-agreement-for-loan-8512-cn-closing-package.txt,34.013866,-15.919186
1994_february_18_728661468103760215_conformed-copy--l3666--economic-recovery-loan--loan-agreement.txt,2.3291159,75.874
2011_september_22_655611468005729826_loan-agreement-for-loan-8024-az-conformed.txt,-14.009337,19.9999
2001_december_20_463161468239098532_conformed-copy--l4604--fiscal-and-financial-management-technical-assistance-project--loan-agreement.txt,-31.933916,16.502472
2002_october_7_485591468057365047_conformed-copy--l7147--kapitbisig-laban-sa-kahirapan-comprehensive-and-integrated-delivery-of-social-services-project-kalahi-cidss-project--loan-agreement.txt,-12.02801,-11.5196705
1992_july_17_392481468198852820_conformed-copy--l3493--second-road-maintenance-and-rehabilitation-project--loan-agreement.txt,51.25689,23.811993
1990_august_10_460651468271855106_conformed-copy--l3203--universities-science-and-technology-research-project--loan-agreement.txt,-52.860508,-4.1466002
1998_august_14_778591468267031820_conformed-copy--l4378--early-child-development-project--loan-agreement.txt,-35.833984,-14.4151945
1994_november_21_563401468034518102_conformed-copy--c2645--industrial-pollution-prevention-project--loan-agreement-1.txt,-1.4210827,74.182
"2005_september_19_225211468110080944_loan-agreement,-l4795-ua-conformed.txt",51.794445,20.478865
"2008_october_21_834231468018842281_loan-agreement,-l7598-hr-conformed.txt",-44.77641,-29.97701
1996_april_12_802951468273604569_conformed-copy--l3993--export-development-project--loan-agreement.txt,-0.6668672,25.32775
"2007_december_13_207461468243266375_loan-agreement,-l7484-co-conformed.txt",-20.594023,-7.6299796
1995_september_26_834941468056927176_mexico--second-basic-health-care-project-_-loan-3943--loan-agreement--conformed.txt,-38.435486,-26.836885
"2008_may_26_306061468213900057_loan-agreement,-l7541-cn-conformed.txt",40.7185,-22.191973
2009_july_22_880921468011422365_loan-agreement-loan-7692-cn-conformed.txt,32.091125,-15.829993
2000_july_25_176281468095059614_conformed-copy--l7013--rural-development-project--loan-agreement.txt,-4.0960555,-2.0057008
2001_december_20_471381468312054329_conformed-copy--l7094--third-economic-competitiveness-adjustment-loan--loan-agreement.txt,-14.041842,82.875465
